macAddress,timeEslapsed,RSSI, ratioRSSI, calculatedDistance, mydistance, realDistance
D9:C0:35:1C:55:5A,19130,-68,0.883116883,0.15,0.36,0.25
D9:C0:35:1C:55:5A,20295,-62,0.805194805,0.14,0.36,0.25
D9:C0:35:1C:55:5A,21435,-64,0.831168831,0.14,0.36,0.25
D9:C0:35:1C:55:5A,22592,-59,0.766233766,0.15,0.33,0.25
D9:C0:35:1C:55:5A,23757,-61,0.792207792,0.15,0.34,0.25
D9:C0:35:1C:55:5A,24905,-66,0.857142857,0.15,0.36,0.25
D9:C0:35:1C:55:5A,26047,-64,0.831168831,0.15,0.39,0.25
D9:C0:35:1C:55:5A,27161,-62,0.805194805,0.15,0.38,0.25
D9:C0:35:1C:55:5A,28330,-61,0.792207792,0.15,0.38,0.25
D9:C0:35:1C:55:5A,29488,-66,0.857142857,0.15,0.38,0.25
D9:C0:35:1C:55:5A,30628,-66,0.857142857,0.15,0.39,0.25
D9:C0:35:1C:55:5A,31770,-61,0.792207792,0.15,0.39,0.25
D9:C0:35:1C:55:5A,32888,-61,0.792207792,0.14,0.38,0.25
D9:C0:35:1C:55:5A,34022,-61,0.792207792,0.14,0.36,0.25
D9:C0:35:1C:55:5A,35186,-65,0.844155844,0.13,0.39,0.25
D9:C0:35:1C:55:5A,36352,-60,0.779220779,0.13,0.38,0.25
D9:C0:35:1C:55:5A,37447,-60,0.779220779,0.12,0.35,0.25
D9:C0:35:1C:55:5A,38617,-59,0.766233766,0.11,0.32,0.25
D9:C0:35:1C:55:5A,39749,-59,0.766233766,0.11,0.27,0.25
D9:C0:35:1C:55:5A,40907,-63,0.818181818,0.11,0.26,0.25
D9:C0:35:1C:55:5A,42032,-59,0.766233766,0.1,0.23,0.25
D9:C0:35:1C:55:5A,43181,-58,0.753246753,0.1,0.22,0.25
D9:C0:35:1C:55:5A,44351,-58,0.753246753,0.1,0.2,0.25
D9:C0:35:1C:55:5A,45490,-65,0.844155844,0.1,0.22,0.25
D9:C0:35:1C:55:5A,46653,-66,0.857142857,0.1,0.24,0.25
D9:C0:35:1C:55:5A,47768,-66,0.857142857,0.1,0.24,0.25
D9:C0:35:1C:55:5A,48915,-68,0.883116883,0.1,0.25,0.25
D9:C0:35:1C:55:5A,50033,-67,0.87012987,0.1,0.27,0.25
D9:C0:35:1C:55:5A,51193,-60,0.779220779,0.1,0.27,0.25
D9:C0:35:1C:55:5A,52339,-65,0.844155844,0.1,0.26,0.25
D9:C0:35:1C:55:5A,53465,-60,0.779220779,0.1,0.24,0.25
D9:C0:35:1C:55:5A,54647,-61,0.792207792,0.1,0.24,0.25
D9:C0:35:1C:55:5A,55778,-60,0.779220779,0.1,0.23,0.25
